start_time,end_time,duration,duration_mins,rental_place,return_place,start_lat,start_long,end_lat,end_long,trip_duration_minutes,year,month,hour,weekday,is_peak_hour,is_weekend
2018-01-01 03:33:00+00:00,2018-01-01 03:49:00+00:00,978,16.3,TRAIN STATION,TRAIN STATION,56.11945,-3.93537,56.11945,-3.93537,16,2018,1,3,Monday,0,0
2018-01-01 04:49:00+00:00,2018-01-01 04:56:00+00:00,424,7.07,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723,7,2018,1,4,Monday,0,0
2018-01-01 22:02:00+00:00,2018-01-01 22:19:00+00:00,1053,17.55,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506,17,2018,1,22,Monday,0,0
2018-01-02 16:25:00+00:00,2018-01-02 16:52:00+00:00,1670,27.83,RAPLOCH COMMUNITY CAMPUS,RAPLOCH COMMUNITY CAMPUS,56.1298,-3.94921,56.1298,-3.94921,27,2018,1,16,Tuesday,1,0
2018-01-02 16:33:00+00:00,2018-01-02 17:13:00+00:00,2382,39.7,PORT STREET,COMMUNITY HOSPITAL,56.11538,-3.93741,56.10701,-3.93676,40,2018,1,16,Tuesday,1,0
2018-01-02 16:47:00+00:00,2018-01-02 16:52:00+00:00,320,5.33,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14917,-3.92151,56.15297,-3.94723,5,2018,1,16,Tuesday,1,0
2018-01-02 23:54:00+00:00,2018-01-03 00:03:00+00:00,573,9.55,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723,9,2018,1,23,Tuesday,0,0
2018-01-03 08:28:00+00:00,2018-01-03 08:41:00+00:00,782,13.03,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029,13,2018,1,8,Wednesday,1,0
2018-01-03 08:28:00+00:00,2018-01-03 08:38:00+00:00,590,9.83,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029,10,2018,1,8,Wednesday,1,0
2018-01-03 08:31:00+00:00,2018-01-03 08:41:00+00:00,596,9.93,BRIDGE OF ALLAN TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15685,-3.95705,56.14397,-3.92084,10,2018,1,8,Wednesday,1,0
2018-01-03 08:44:00+00:00,2018-01-03 08:56:00+00:00,673,11.22,MURRAY PLACE,CASTLE BUSINESS PARK / LOMOND COURT,56.11901,-3.93656,56.1282,-3.96029,12,2018,1,8,Wednesday,1,0
2018-01-03 10:19:00+00:00,2018-01-03 10:25:00+00:00,370,6.17,CASTLE BUSINESS PARK / LOMOND COURT,CASTLE BUSINESS PARK / LOMOND COURT,56.1282,-3.96029,56.1282,-3.96029,6,2018,1,10,Wednesday,0,0
2018-01-03 12:40:00+00:00,2018-01-03 12:56:00+00:00,925,15.42,RAPLOCH COMMUNITY CAMPUS,RAPLOCH COMMUNITY CAMPUS,56.1298,-3.94921,56.1298,-3.94921,16,2018,1,12,Wednesday,0,0
2018-01-03 13:15:00+00:00,2018-01-03 13:38:00+00:00,1349,22.48,OLD STIRLING BRIDGE,CAUSEWAYHEAD ROUNDABOUT,56.12954,-3.93506,56.13829,-3.92392,23,2018,1,13,Wednesday,0,0
2018-01-03 13:16:00+00:00,2018-01-03 13:38:00+00:00,1329,22.15,OLD STIRLING BRIDGE,CAUSEWAYHEAD ROUNDABOUT,56.12954,-3.93506,56.13829,-3.92392,22,2018,1,13,Wednesday,0,0
2018-01-03 14:04:00+00:00,2018-01-03 14:11:00+00:00,457,7.62,THE BACK WALK,CASTLE BUSINESS PARK / LOMOND COURT,56.11781,-3.93948,56.1282,-3.96029,7,2018,1,14,Wednesday,0,0
2018-01-03 16:50:00+00:00,2018-01-03 17:01:00+00:00,652,10.87,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537,11,2018,1,16,Wednesday,1,0
2018-01-03 17:17:00+00:00,2018-01-03 17:25:00+00:00,520,8.67,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN TRAIN STATION,56.14397,-3.92084,56.15685,-3.95705,8,2018,1,17,Wednesday,1,0
2018-01-03 17:25:00+00:00,2018-01-03 17:41:00+00:00,982,16.37,TEITH HOUSE,TEITH HOUSE,56.11289,-3.92586,56.11289,-3.92586,16,2018,1,17,Wednesday,1,0
2018-01-03 17:34:00+00:00,2018-01-03 17:47:00+00:00,741,12.35,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537,13,2018,1,17,Wednesday,1,0
2018-01-03 17:46:00+00:00,2018-01-03 17:58:00+00:00,690,11.5,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,12,2018,1,17,Wednesday,1,0
2018-01-03 19:57:00+00:00,2018-01-03 20:04:00+00:00,421,7.02,THE BACK WALK,CASTLE BUSINESS PARK / LOMOND COURT,56.11781,-3.93948,56.1282,-3.96029,7,2018,1,19,Wednesday,0,0
2018-01-03 23:09:00+00:00,2018-01-03 23:24:00+00:00,914,15.23,TRAIN STATION,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14917,-3.92151,15,2018,1,23,Wednesday,0,0
2018-01-04 01:17:00+00:00,2018-01-04 01:26:00+00:00,509,8.48,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723,9,2018,1,1,Thursday,0,0
2018-01-04 07:39:00+00:00,2018-01-04 07:50:00+00:00,684,11.4,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029,11,2018,1,7,Thursday,1,0
2018-01-04 07:42:00+00:00,2018-01-04 08:06:00+00:00,1479,24.65,BORESTONE ROUNDABOUT,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.10034,-3.93702,56.14397,-3.92084,24,2018,1,7,Thursday,1,0
