Start time,End time,Duration,Duration.1,Rental_Place,Return_Place,START LAT,START LONG,END LAT,END LONG
2018-01-01T03:33:00.000Z,2018-01-01T03:49:00.000Z,978,16.3,TRAIN STATION,TRAIN STATION,56.11945,-3.93537,56.11945,-3.93537
2018-01-01T04:49:00.000Z,2018-01-01T04:56:00.000Z,424,7.07,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723
2018-01-01T22:02:00.000Z,2018-01-01T22:19:00.000Z,1053,17.55,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506
2018-01-02T16:20:00.000Z,2018-01-02T17:02:00.000Z,2536,42.27,THE BACK WALK,BORESTONE ROUNDABOUT,56.11781,-3.93948,56.10034,-3.93702
2018-01-02T16:21:00.000Z,2018-01-02T17:02:00.000Z,2468,41.13,THE BACK WALK,BORESTONE ROUNDABOUT,56.11781,-3.93948,56.10034,-3.93702
2018-01-02T16:22:00.000Z,2018-01-02T17:13:00.000Z,3072,51.2,THE BACK WALK,COMMUNITY HOSPITAL,56.11781,-3.93948,56.10701,-3.93676
2018-01-02T16:25:00.000Z,2018-01-02T16:52:00.000Z,1670,27.83,RAPLOCH COMMUNITY CAMPUS,RAPLOCH COMMUNITY CAMPUS,56.1298,-3.94921,56.1298,-3.94921
2018-01-02T16:33:00.000Z,2018-01-02T17:13:00.000Z,2382,39.7,PORT STREET,COMMUNITY HOSPITAL,56.11538,-3.93741,56.10701,-3.93676
2018-01-02T16:47:00.000Z,2018-01-02T16:52:00.000Z,320,5.33,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14917,-3.92151,56.15297,-3.94723
2018-01-02T20:38:00.000Z,2018-01-03T16:38:00.000Z,71982,1199.7,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506
2018-01-02T23:54:00.000Z,2018-01-03T00:03:00.000Z,573,9.55,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723
2018-01-02T23:54:00.000Z,2018-01-06T00:06:00.000Z,259960,4332.67,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723
2018-01-03T08:28:00.000Z,2018-01-03T08:41:00.000Z,782,13.03,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029
2018-01-03T08:28:00.000Z,2018-01-03T08:38:00.000Z,590,9.83,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029
2018-01-03T08:31:00.000Z,2018-01-03T08:41:00.000Z,596,9.93,BRIDGE OF ALLAN TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15685,-3.95705,56.14397,-3.92084
2018-01-03T08:44:00.000Z,2018-01-03T08:56:00.000Z,673,11.22,MURRAY PLACE,CASTLE BUSINESS PARK / LOMOND COURT,56.11901,-3.93656,56.1282,-3.96029
2018-01-03T10:19:00.000Z,2018-01-03T10:25:00.000Z,370,6.17,CASTLE BUSINESS PARK / LOMOND COURT,CASTLE BUSINESS PARK / LOMOND COURT,56.1282,-3.96029,56.1282,-3.96029
2018-01-03T12:40:00.000Z,2018-01-03T12:56:00.000Z,925,15.42,RAPLOCH COMMUNITY CAMPUS,RAPLOCH COMMUNITY CAMPUS,56.1298,-3.94921,56.1298,-3.94921
2018-01-03T13:15:00.000Z,2018-01-03T13:38:00.000Z,1349,22.48,OLD STIRLING BRIDGE,CAUSEWAYHEAD ROUNDABOUT,56.12954,-3.93506,56.13829,-3.92392
2018-01-03T13:16:00.000Z,2018-01-03T13:38:00.000Z,1329,22.15,OLD STIRLING BRIDGE,CAUSEWAYHEAD ROUNDABOUT,56.12954,-3.93506,56.13829,-3.92392
2018-01-03T14:04:00.000Z,2018-01-03T14:11:00.000Z,457,7.62,THE BACK WALK,CASTLE BUSINESS PARK / LOMOND COURT,56.11781,-3.93948,56.1282,-3.96029
2018-01-03T16:50:00.000Z,2018-01-03T17:01:00.000Z,652,10.87,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537
2018-01-03T17:17:00.000Z,2018-01-03T17:25:00.000Z,520,8.67,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN TRAIN STATION,56.14397,-3.92084,56.15685,-3.95705
2018-01-03T17:25:00.000Z,2018-01-03T17:41:00.000Z,982,16.37,TEITH HOUSE,TEITH HOUSE,56.11289,-3.92586,56.11289,-3.92586
2018-01-03T17:34:00.000Z,2018-01-03T17:47:00.000Z,741,12.35,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537
2018-01-03T17:46:00.000Z,2018-01-03T17:58:00.000Z,690,11.5,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392
2018-01-03T19:57:00.000Z,2018-01-03T20:04:00.000Z,421,7.02,THE BACK WALK,CASTLE BUSINESS PARK / LOMOND COURT,56.11781,-3.93948,56.1282,-3.96029
2018-01-03T23:09:00.000Z,2018-01-03T23:24:00.000Z,914,15.23,TRAIN STATION,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14917,-3.92151
2018-01-04T01:17:00.000Z,2018-01-04T01:26:00.000Z,509,8.48,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723
2018-01-04T07:39:00.000Z,2018-01-04T07:50:00.000Z,684,11.4,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029
